SSID,BSSID,MANUFACTURER,SIGNAL,High Signal,RSSI,High RSSI,AUTHENTICATION,ENCRYPTION,RADIO TYPE,CHANNEL,BTX,OTX,NETWORK TYPE,LABEL,LATITUDE,LONGITUDE,SATELLITES,HDOP,ALTITUDE,HEIGHT OF GEOID,SPEED(km/h),SPEED(MPH),TRACK ANGLE,DATE(UTC),TIME(UTC),name,network_id,signal,frequency,longitude,latitude
sanasin3,14:4d:67:53:97:f4,Zioncom Electronics (Shenzhen) Ltd.,33,33,-82,-82,WPA2-Personal,CCMP,802.11n,11,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:03.499,sanasin3,14:4d:67:53:97:f4,-62,2462,102.62191908420024,17.992164699077723
TP-Link_7913,e4:fa:c4:e4:79:13,Big Field Global PTE. Ltd.,57,80,-74,-65,WPA2-Personal,CCMP,802.11n,3,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:03.499,TP-Link_7913,e4:fa:c4:e4:79:13,-66,2422,102.6239129202651,17.990023954835898
nguyen van hieu,58:d3:12:e3:3f:07,Unknown,43,81,-78,-62,WPA2-Personal,CCMP,802.11n,4,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:03.499,nguyen van hieu,58:d3:12:e3:3f:07,-54,2427,102.6236214767116,17.989067911434915
M & L,04:e7:95:3e:38:38,"HUAWEI TECHNOLOGIES CO.,LTD",22,83,-87,-59,WPA2-Personal,CCMP,802.11n,7,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:03.499,M & L,04:e7:95:3e:38:38,-54,2442,102.6236214767116,17.989067911434915
sanasinf1,14:4d:67:54:b1:18,Zioncom Electronics (Shenzhen) Ltd.,43,65,-78,-71,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:03.499,sanasinf1,14:4d:67:54:b1:18,-62,2412,102.6239129202651,17.990023954835898
Anny,64:2c:ac:d4:c5:5c,"HUAWEI TECHNOLOGIES CO.,LTD",26,53,-85,-75,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:03.499,Anny,64:2c:ac:d4:c5:5c,-67,5180,102.62379788921989,17.98947827277694
Puy Mark,e8:f6:54:bd:47:ad,"HUAWEI TECHNOLOGIES CO.,LTD",70,82,-69,-60,WPA2-Personal,CCMP,802.11ax,40,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:03.499,Puy Mark,e8:f6:54:bd:47:ad,-54,5200,102.62389264445802,17.989802094919874
Puy Mark,e8:f6:54:bd:47:a8,"HUAWEI TECHNOLOGIES CO.,LTD",81,82,-62,-61,WPA2-Personal,CCMP,802.11ac,11,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:03.499,Puy Mark,e8:f6:54:bd:47:a8,-46,2462,102.6235867662748,17.988972872008553
sanasin4,14:4d:67:53:c0:60,Zioncom Electronics (Shenzhen) Ltd.,70,70,-69,-69,WPA2-Personal,CCMP,802.11n,11,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:03.499,sanasin4,14:4d:67:53:c0:60,-66,2462,102.6239348207421,17.990917280606922
Anny,64:2c:ac:d4:c5:58,"HUAWEI TECHNOLOGIES CO.,LTD",33,82,-82,-61,WPA2-Personal,CCMP,802.11n,8,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:05.442,Anny,64:2c:ac:d4:c5:58,-64,2447,102.6239129202651,17.990023954835898
COVID-19,b0:a7:b9:7b:77:66,TP-Link Corporation Limited,16,40,-90,-79,WPA2-Personal,CCMP,802.11ac,10,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:06.447,COVID-19,b0:a7:b9:7b:77:66,-76,2457,102.6239129202651,17.990023954835898
GTA 2,24:43:e2:91:bb:a0,DASAN Network Solutions,53,53,-75,-75,WPA2-Personal,CCMP,802.11n,2,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:06.447,GTA 2,24:43:e2:91:bb:a0,-52,2417,102.6239129202651,17.990023954835898
YOFOTO LAO,5c:92:5e:0c:9d:58,Zioncom Electronics (Shenzhen) Ltd.,38,62,-80,-72,WPA2-Personal,CCMP,802.11ac,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:06.447,YOFOTO LAO,5c:92:5e:0c:9d:58,-63,2412,102.6239129202651,17.990023954835898
GTA 2,24:43:e2:73:b8:80,DASAN Network Solutions,22,35,-87,-81,WPA2-Personal,CCMP,802.11n,2,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:16.531,GTA 2,24:43:e2:73:b8:80,-63,2417,102.62361109954566,17.989160059519744
Shinjuku-POS,50:0f:f5:16:01:81,"Tenda Technology Co.,Ltd.Dongguan branch",13,38,-92,-80,WPA2-Personal,CCMP,802.11n,6,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:17.942,Shinjuku-POS,50:0f:f5:16:01:81,-68,2437,102.6236465271506,17.98922767851825
ConstrusionSide,14:4d:67:53:eb:d4,Zioncom Electronics (Shenzhen) Ltd.,18,67,-89,-70,WPA2-Personal,CCMP,802.11n,6,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:18.953,ConstrusionSide,14:4d:67:53:eb:d4,-69,2437,102.6233969675157,17.988552447095618
689Shop 5G,04:e7:95:3c:68:f4,"HUAWEI TECHNOLOGIES CO.,LTD",16,35,-90,-81,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:18.953,689Shop 5G,04:e7:95:3c:68:f4,-79,5745,102.62337460418188,17.987622724772876
c60129a6,50:2c:c6:01:29:a6,"GREE ELECTRIC APPLIANCES, INC. OF ZHUHAI",18,26,-89,-85,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:21.122,c60129a6,50:2c:c6:01:29:a6,-65,2412,102.6239129202651,17.990023954835898
DIRECT-9C-EPSON-86E2CC,52:57:9c:86:62:cc,Unknown,20,20,-88,-88,WPA2-Personal,CCMP,802.11n,1,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:24.436,DIRECT-9C-EPSON-86E2CC,52:57:9c:86:62:cc,-76,2412,102.62366029240552,17.989070492779387
GTA 2,24:43:e2:73:7b:30,DASAN Network Solutions,11,11,-93,-93,WPA2-Personal,CCMP,802.11n,2,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:34.584,GTA 2,24:43:e2:73:7b:30,-80,2417,102.62387089754355,17.98969385098104
HUAWEI nova 5T,32:38:4c:ee:29:57,Unknown,11,20,-93,-88,WPA2-Personal,CCMP,802.11ac,6,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:41.102,HUAWEI nova 5T,32:38:4c:ee:29:57,-69,2437,102.6234112648394,17.98888647957646
M & L,04:e7:95:3e:38:3c,"HUAWEI TECHNOLOGIES CO.,LTD",22,80,-87,-64,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:44.730,M & L,04:e7:95:3e:38:3c,-68,5745,102.62336320047484,17.98803941198153
TP-Link_7913_5G,e4:fa:c4:e4:79:15,Big Field Global PTE. Ltd.,26,82,-85,-61,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:55.056,TP-Link_7913_5G,e4:fa:c4:e4:79:15,-77,5745,102.62387089754355,17.98969385098104
PMK,a6:a4:6b:20:63:90,Unknown,16,31,-90,-83,WPA2-Personal,CCMP,802.11ax,5,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:02.698,PMK,a6:a4:6b:20:63:90,-74,2432,102.62339617465943,17.987648904552053
Mina.5G ,04:e7:95:3c:41:a4,"HUAWEI TECHNOLOGIES CO.,LTD",29,33,-84,-82,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:19.434,Mina.5G ,04:e7:95:3c:41:a4,-73,5745,102.62336755279034,17.987705141991057
Evotech,34:0a:98:d3:2c:b4,"HUAWEI TECHNOLOGIES CO.,LTD",20,60,-88,-73,WPA2-Personal,CCMP,802.11n,11,"1,2,5.5,11,18,24,36,54","6,9,12,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:22.078,Evotech,34:0a:98:d3:2c:b4,-62,2462,102.62337957843071,17.988114130564806
Whatsclub fasion 2.4G,f4:79:60:ae:b3:c4,"HUAWEI TECHNOLOGIES CO.,LTD",10,10,-94,-94,WPA2-Personal,CCMP,802.11n,10,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:24.251,Whatsclub fasion 2.4G,f4:79:60:ae:b3:c4,-69,2457,102.62336320047484,17.98803941198153
Ava shop,b8:d6:f6:45:3c:18,"HUAWEI TECHNOLOGIES CO.,LTD",18,38,-89,-80,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:24.251,Ava shop,b8:d6:f6:45:3c:18,-60,2412,102.62346769231152,17.987815185578487
Vegas1988-5G,14:13:fb:72:06:14,"HUAWEI TECHNOLOGIES CO.,LTD",35,72,-81,-68,WPA2-Personal,CCMP,802.11ax,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:24.251,Vegas1988-5G,14:13:fb:72:06:14,-63,5180,102.62336401248932,17.987845584050202
Vegas1988,14:13:fb:72:06:10,"HUAWEI TECHNOLOGIES CO.,LTD",24,53,-86,-75,WPA2-Personal,CCMP,802.11ax,11,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:26.880,Vegas1988,14:13:fb:72:06:10,-69,2462,102.62339617465943,17.987648904552053
MiNa ,04:e7:95:3c:41:a0,"HUAWEI TECHNOLOGIES CO.,LTD",22,31,-87,-83,WPA2-Personal,CCMP,802.11n,9,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:29.241,MiNa ,04:e7:95:3c:41:a0,-67,2452,102.62336715868324,17.988382180061475
Ava shop,b8:d6:f6:45:3c:1c,"HUAWEI TECHNOLOGIES CO.,LTD",31,43,-83,-78,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:29.241,Ava shop,b8:d6:f6:45:3c:1c,-82,5745,102.62337460418188,17.987622724772876
GTA1,60:ce:41:0b:fd:98,"HUAWEI TECHNOLOGIES CO.,LTD",65,65,-71,-71,WPA2-Personal,CCMP,802.11ac,5,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:29.241,GTA1,60:ce:41:0b:fd:98,-68,2432,102.62336755279034,17.987705141991057
OUTHAI FASHION,e8:6e:44:de:03:84,zte corporation,22,22,-87,-87,WPA2-Personal,CCMP,802.11n,3,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:29.241,OUTHAI FASHION,e8:6e:44:de:03:84,-51,2422,102.62336401248932,17.987845584050202
GTA1,60:ce:41:0b:fd:9d,"HUAWEI TECHNOLOGIES CO.,LTD",11,18,-93,-89,WPA2-Personal,CCMP,802.11ax,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:31.756,GTA1,60:ce:41:0b:fd:9d,-79,5180,102.62337460418188,17.987622724772876
GTA2,60:ce:41:0c:54:84,"HUAWEI TECHNOLOGIES CO.,LTD",16,46,-90,-77,WPA2-Personal,CCMP,802.11ac,1,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:36.582,GTA2,60:ce:41:0c:54:84,-74,2412,102.6228202314042,17.98794937288224
GTA2,60:ce:41:0c:54:89,"HUAWEI TECHNOLOGIES CO.,LTD",13,26,-92,-85,WPA2-Personal,CCMP,802.11ax,48,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:37.872,GTA2,60:ce:41:0c:54:89,-80,5240,102.62323813752796,17.987765514450498
Triplebhome,b0:8b:92:75:db:e6,zte corporation,26,29,-85,-84,WPA2-Personal,CCMP,802.11n,4,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:39.143,Triplebhome,b0:8b:92:75:db:e6,-80,2422,102.62282253723464,17.98794637661912
Dollar,b8:d6:f6:99:60:64,"HUAWEI TECHNOLOGIES CO.,LTD",22,22,-87,-87,WPA2-Personal,CCMP,802.11n,8,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:39.143,Dollar,b8:d6:f6:99:60:64,-52,2447,102.6233969675157,17.988552447095618
Mone,60:53:75:5d:eb:d4,"HUAWEI TECHNOLOGIES CO.,LTD",11,13,-93,-92,WPA2-Personal,CCMP,802.11ac,5,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:39.143,Mone,60:53:75:5d:eb:d4,-86,2432,102.62343770274153,17.98766306083233
Rimkhorng cafe_5G,a8:6e:84:7c:b1:aa,Unknown,16,16,-90,-90,WPA2-Personal,CCMP,802.11ac,44,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:41.956,Rimkhorng cafe_5G,a8:6e:84:7c:b1:aa,-75,5220,102.62359320953364,17.98750750985005
Rimkhorng cafe,a8:6e:84:7c:b1:ab,Unknown,26,26,-85,-85,WPA2-Personal,CCMP,802.11n,2,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:46.301,Rimkhorng cafe,a8:6e:84:7c:b1:ab,-63,2417,102.62282194538264,17.98794591923244
689Shop,04:e7:95:3c:68:f0,"HUAWEI TECHNOLOGIES CO.,LTD",26,26,-85,-85,WPA2-Personal,CCMP,802.11n,9,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:46.301,689Shop,04:e7:95:3c:68:f0,-68,2452,102.62336755279034,17.987705141991057
Lucky,b8:d6:f6:99:63:a8,"HUAWEI TECHNOLOGIES CO.,LTD",18,18,-89,-89,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:49.073,Lucky,b8:d6:f6:99:63:a8,-61,5745,102.62349204367553,17.986214732495508
Bantonmai Network,98:1a:35:ca:97:ec,"HUAWEI TECHNOLOGIES CO.,LTD",14,14,-91,-91,WPA2-Personal,CCMP,802.11n,10,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:51.660,Bantonmai Network,98:1a:35:ca:97:ec,-86,2457,102.62355259642966,17.987481442794977
PMK 5G,a6:a4:6b:20:63:94,Unknown,43,43,-78,-78,WPA2-Personal,CCMP,802.11ax,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:06:54.288,PMK 5G,a6:a4:6b:20:63:94,-75,5180,102.62346769231152,17.987815185578487
Virus9,24:43:e2:32:67:cf,DASAN Network Solutions,16,40,-90,-79,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:07:01.170,Virus9,24:43:e2:32:67:cf,-80,2412,102.62343770274153,17.98766306083233
MOUK2,14:4d:67:67:ed:18,Zioncom Electronics (Shenzhen) Ltd.,43,60,-78,-73,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:07:13.765,MOUK2,14:4d:67:67:ed:18,-74,2412,102.62282339400171,17.987945886659183
Bantonmai Network_plus,c8:bf:4c:fd:fc:1f,"Beijing Xiaomi Mobile Software Co., Ltd",13,14,-92,-91,WPA2-Personal,CCMP,802.11n,10,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:07:18.642,Bantonmai Network_plus,c8:bf:4c:fd:fc:1f,-80,2457,102.62346769231152,17.987815185578487
Bong jour,60:ce:41:0c:1e:69,"HUAWEI TECHNOLOGIES CO.,LTD",13,18,-92,-89,WPA2-Personal,CCMP,802.11ax,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:07:39.384,Bong jour,60:ce:41:0c:1e:69,-90,5180,102.62356145779408,17.986861254158907
Bong jour,60:ce:41:0c:1e:64,"HUAWEI TECHNOLOGIES CO.,LTD",16,33,-90,-82,WPA2-Personal,CCMP,802.11ac,2,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:08:04.727,Bong jour,60:ce:41:0c:1e:64,-80,2417,102.6228212131086,17.98794435422087
Win Lao Korea,24:43:e2:92:c3:48,DASAN Network Solutions,18,18,-89,-89,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:08:08.351,Win Lao Korea,24:43:e2:92:c3:48,-62,2412,102.62284713944,17.9879267528916
MmMn wifi,24:43:e2:92:c9:90,DASAN Network Solutions,26,26,-85,-85,WPA2-Personal,CCMP,802.11n,4,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:08:30.102,MmMn wifi,24:43:e2:92:c9:90,-76,2427,102.62355259642966,17.987481442794977
HLS Home Wifi,84:a9:c4:3b:f9:dc,"HUAWEI TECHNOLOGIES CO.,LTD",14,14,-91,-91,WPA2-Personal,CCMP,802.11n,10,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:08:46.261,HLS Home Wifi,84:a9:c4:3b:f9:dc,-86,2457,102.62282339388132,17.987945886391408
70mai_A800S_2.4G_a378,7c:94:9f:62:a3:78,"Shenzhen iComm Semiconductor CO.,LTD",16,16,-90,-90,WPA2-Personal,CCMP,802.11n,7,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:10:00.312,70mai_A800S_2.4G_a378,7c:94:9f:62:a3:78,-80,2442,102.62281719427676,17.98796011084555
RFJ 3,f4:28:54:02:dc:ec,Unknown,16,16,-90,-90,WPA2-Personal,CCMP,802.11ac,2,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:10:17.506,RFJ 3,f4:28:54:02:dc:ec,-80,2417,102.623435274334,17.988869395304047
Galaxy S24 Ultra 4408,0e:36:fa:2a:cd:9f,Unknown,50,50,-76,-76,WPA2-Personal,CCMP,802.11ac,11,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:10:36.672,Galaxy S24 Ultra 4408,0e:36:fa:2a:cd:9f,-86,2462,102.62392247401016,17.990532930824404
iPhone,2e:09:44:c3:cd:d4,Unknown,11,26,-93,-85,OWE,CCMP,802.11n,6,"1,2,5.5,11,18,24,36,54","6,9,12,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:10:39.985,iPhone,2e:09:44:c3:cd:d4,-80,2437,102.62337957843071,17.988114130564806
kieBooya,cc:29:bd:68:90:e6,zte corporation,29,81,-84,-62,WPA2-Personal,CCMP,802.11n,9,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:10:46.047,kieBooya,cc:29:bd:68:90:e6,-50,2452,102.6222111555904,17.99202089726613
My VW 6431,a2:cd:f3:f3:a0:51,Unknown,35,60,-81,-73,WPA2-Personal,CCMP,802.11n,6,"1,2,5.5,11,18,24,36,54","6,9,12,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:10:50.580,My VW 6431,a2:cd:f3:f3:a0:51,-74,2437,102.62393489218525,17.99091747381691
GT6_7197,ae:af:86:6b:4f:d3,Unknown,57,57,-74,-74,OWE,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:10:56.693,GT6_7197,ae:af:86:6b:4f:d3,-77,5180,102.6235867662748,17.988972872008553
