SSID,BSSID,MANUFACTURER,HIGHEST SIGNAL W/GPS,AUTHENTICATION,ENCRYPTION,RADIO TYPE,CHANNEL,LATITUDE,LONGITUDE,BTX,OTX,FIRST SEEN(UTC),LAST SEEN(UTC),NETWORK TYPE,LABEL, HIGHEST SIGNAL, HIGHEST RSSI,name,network_id,signal,frequency,longitude,latitude
UNITEL_ALong,5c:92:5e:a6:a6:4c,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11ac,1,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:33:53.541,2024-11-07 03:35:42.074,Infrastructure,Unknown,29,-84,UNITEL_ALong,5c:92:5e:a6:a6:4c,-81,2412,102.62052224866932,17.910533288733728
Be-Laos2,44:d9:e7:c7:3d:27,Ubiquiti Inc,0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:33:53.541,2024-11-07 03:35:42.074,Infrastructure,Unknown,35,-81,Be-Laos2,44:d9:e7:c7:3d:27,-81,2412,102.62038751522324,17.910932872970886
Noah Furniture,dc:21:e2:97:67:60,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,11,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:34:00.253,2024-11-07 03:35:56.219,Infrastructure,Unknown,38,-80,Noah Furniture,dc:21:e2:97:67:60,-89,2462,102.62016187056877,17.912701616426506
Tony,5c:92:5e:2b:c6:e4,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11ac,1,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:34:00.253,2024-11-07 03:35:42.074,Infrastructure,Unknown,80,-65,Tony,5c:92:5e:2b:c6:e4,-82,2412,102.6202126211999,17.912260083259564
Khamlar,e8:f6:54:8b:09:cc,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,5,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:34:00.253,2024-11-07 03:35:56.219,Infrastructure,Unknown,38,-80,Khamlar,e8:f6:54:8b:09:cc,-89,2432,102.62016187056877,17.912701616426506
VONE DING,b0:08:75:f9:b9:00,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,8,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:34:00.253,2024-11-07 03:36:03.832,Infrastructure,Unknown,46,-77,VONE DING,b0:08:75:f9:b9:00,-78,2447,102.62008544247966,17.91408000277923
Hakder,f0:9b:b8:da:f6:28,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,11,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:34:06.599,2024-11-07 03:35:56.219,Infrastructure,Unknown,40,-79,Hakder,f0:9b:b8:da:f6:28,-91,2462,102.62016187056877,17.912701616426506
Venus8888,14:de:39:10:8e:6c,"Huawei Device Co., Ltd.",0,WPA2-Personal,CCMP,802.11ax,7,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:34:06.599,2024-11-07 03:36:03.832,Infrastructure,Unknown,31,-83,Venus8888,14:de:39:10:8e:6c,-86,2442,102.62010035566485,17.913150602911724
PS,ac:99:29:8e:39:ac,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:34:12.034,2024-11-07 03:36:03.832,Infrastructure,Unknown,83,-59,PS,ac:99:29:8e:39:ac,-67,5745,102.62021249729632,17.91300389226931
Chomphet Dental Clinic,f8:98:b9:2a:0d:74,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11g,8,0.0,0.0,"1,2,5.5,11,18,24,36,54","6,9,12,48",2024-11-07 03:34:12.034,2024-11-07 03:36:03.832,Infrastructure,Unknown,50,-76,Chomphet Dental Clinic,f8:98:b9:2a:0d:74,-80,2447,102.62014369539428,17.913526283221096
SNBH Residential 2,8c:de:f9:07:c4:06,"Beijing Xiaomi Mobile Software Co., Ltd",0,WPA2-Personal,CCMP,802.11n,11,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:34:12.034,2024-11-07 03:36:03.832,Infrastructure,Unknown,35,-81,SNBH Residential 2,8c:de:f9:07:c4:06,-90,2462,102.62004973468848,17.913511351661207
CCS MACHINNERY1,9c:2b:a6:b2:35:b7,"Ruijie Networks Co.,LTD",0,WPA2-Personal,CCMP,802.11ac,52,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:34:12.034,2024-11-07 03:36:03.832,Infrastructure,Unknown,20,-88,CCS MACHINNERY1,9c:2b:a6:b2:35:b7,-88,5260,102.61993501665944,17.91447607358339
Chomphuphet_plus,64:64:4a:4b:92:af,"Beijing Xiaomi Mobile Software Co., Ltd",0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:34:17.922,2024-11-07 03:36:03.832,Infrastructure,Unknown,22,-87,Chomphuphet_plus,64:64:4a:4b:92:af,-86,2412,102.62003750254624,17.913600740453546
Mon,a6:a4:6b:20:bf:54,Unknown,0,WPA2-Personal,CCMP,802.11ax,1,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:34:17.922,2024-11-07 03:36:03.832,Infrastructure,Unknown,31,-83,Mon,a6:a4:6b:20:bf:54,-89,2412,102.61998490587015,17.91404199502372
...,9e:65:ee:1d:33:ef,Unknown,0,WPA2-Personal,CCMP,802.11n,2,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:34:17.922,2024-11-07 03:36:03.832,Infrastructure,Unknown,43,-78,...,9e:65:ee:1d:33:ef,-69,2417,102.61998490587015,17.91404199502372
SP 5G,1c:ae:cb:f2:9a:b0,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:34:22.577,2024-11-07 03:36:18.068,Infrastructure,Unknown,18,-89,SP 5G,1c:ae:cb:f2:9a:b0,-88,5180,102.61993501665944,17.91447607358339
CCS-MACHINERY-4G,60:d7:55:e3:db:a0,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,9,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:34:22.577,2024-11-07 03:36:11.501,Infrastructure,Unknown,50,-76,CCS-MACHINERY-4G,60:d7:55:e3:db:a0,-87,2452,102.61993501665944,17.91447607358339
001,88:c3:97:6d:c8:1a,"Beijing Xiaomi Mobile Software Co., Ltd",0,WPA2-Personal,CCMP,802.11n,4,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:34:22.577,2024-11-07 03:36:11.501,Infrastructure,Unknown,70,-69,001,88:c3:97:6d:c8:1a,-73,2427,102.61998490587015,17.91404199502372
RO888-2.4G,5c:e8:83:de:b7:90,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,8,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:34:27.937,2024-11-07 03:36:18.068,Infrastructure,Unknown,26,-85,RO888-2.4G,5c:e8:83:de:b7:90,-82,2447,102.61995628413298,17.91522413219906
SP 5G,1c:ae:cb:f2:9a:ad,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,6,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:34:27.937,2024-11-07 03:36:18.068,Infrastructure,Unknown,43,-78,SP 5G,1c:ae:cb:f2:9a:ad,-77,2437,102.61993501665944,17.91447607358339
SP,1c:ae:cb:f2:9a:ac,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,6,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:34:27.937,2024-11-07 03:36:18.068,Infrastructure,Unknown,40,-79,SP,1c:ae:cb:f2:9a:ac,-78,2437,102.61993501665944,17.91447607358339
Anongkhan,24:43:e2:92:d8:b1,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11ac,157,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:34:33.542,2024-11-07 03:36:22.706,Infrastructure,Unknown,24,-86,Anongkhan,24:43:e2:92:d8:b1,-90,5785,102.6197869600615,17.91589011956712
AOI,24:43:e2:91:78:19,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11ac,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:34:33.542,2024-11-07 03:36:22.706,Infrastructure,Unknown,31,-83,AOI,24:43:e2:91:78:19,-90,5180,102.61989545531482,17.915729860482063
AOI,24:43:e2:91:6b:01,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11ac,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:34:33.542,2024-11-07 03:36:22.706,Infrastructure,Unknown,60,-73,AOI,24:43:e2:91:6b:01,-82,5180,102.61983808972334,17.915400529887936
AOI,24:43:e2:91:78:18,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,3,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:34:33.542,2024-11-07 03:36:22.706,Infrastructure,Unknown,83,-59,AOI,24:43:e2:91:78:18,-78,2422,102.61983808972334,17.915400529887936
HOMEPPD_5G,1c:61:b4:31:33:29,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11ac,44,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:34:33.542,2024-11-07 03:36:22.706,Infrastructure,Unknown,40,-79,HOMEPPD_5G,1c:61:b4:31:33:29,-81,5220,102.61989545531482,17.915729860482063
Latsamy.SR,24:43:e2:3f:77:1f,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,11,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:34:33.542,2024-11-07 03:36:22.706,Infrastructure,Unknown,87,-52,Latsamy.SR,24:43:e2:3f:77:1f,-63,2462,102.61983808972334,17.915400529887936
Paramy-5G,5c:64:7a:77:35:78,"HUAWEI TECHNOLOGIES CO.,LTD",0,OWE,CCMP,802.11ax,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:34:33.542,2024-11-07 03:36:22.706,Infrastructure,Unknown,13,-92,Paramy-5G,5c:64:7a:77:35:78,-89,5180,102.61989545531482,17.915729860482063
yimgnam clinic,60:2e:20:f4:f7:54,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:34:33.542,2024-11-07 03:36:22.706,Infrastructure,Unknown,62,-72,yimgnam clinic,60:2e:20:f4:f7:54,-74,2412,102.61989545531482,17.915729860482063
Anata,f4:4c:7f:7e:25:70,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,5,0.0,0.0,"1,2,5.5,11,18,24,36,54","6,9,12,48",2024-11-07 03:34:33.542,2024-11-07 03:36:22.706,Infrastructure,Unknown,50,-76,Anata,f4:4c:7f:7e:25:70,-86,2432,102.61983808972334,17.915400529887936
Mplus,e8:f6:54:7f:53:6c,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,11,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:34:43.052,2024-11-07 03:36:22.706,Infrastructure,Unknown,75,-67,Mplus,e8:f6:54:7f:53:6c,-86,2462,102.6197869600615,17.91589011956712
tod,f4:28:53:f0:d4:00,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11ac,1,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:34:43.052,2024-11-07 03:36:22.706,Infrastructure,Unknown,86,-53,tod,f4:28:53:f0:d4:00,-84,2412,102.61989545531482,17.915729860482063
TCMNISSAN2_5G,b0:a7:b9:c4:3f:c2,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11ax,157,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:34:43.052,2024-11-07 03:36:22.706,Infrastructure,Unknown,31,-83,TCMNISSAN2_5G,b0:a7:b9:c4:3f:c2,-86,5785,102.61969855585102,17.91656205013005
LTC,20:ab:48:4c:5c:10,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:34:43.052,2024-11-07 03:36:22.706,Infrastructure,Unknown,24,-86,LTC,20:ab:48:4c:5c:10,-89,5180,102.61969855585102,17.91656205013005
AD_401_RAC_056905_WW-a0b5,fa:b9:5a:ca:a0:b5,Unknown,0,WPA2-Personal,CCMP,802.11n,11,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:34:43.052,2024-11-07 03:36:22.706,Infrastructure,Unknown,75,-67,AD_401_RAC_056905_WW-a0b5,fa:b9:5a:ca:a0:b5,-87,2462,102.61982909694513,17.916253518174972
LALIGA,94:98:69:3a:ea:1e,zte corporation,0,WPA2-Personal,CCMP,802.11n,7,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:34:43.052,2024-11-07 03:36:22.706,Infrastructure,Unknown,82,-61,LALIGA,94:98:69:3a:ea:1e,-77,2442,102.6197869600615,17.91589011956712
Taiy,c4:fb:aa:a8:61:b8,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,3,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:34:51.892,2024-11-07 03:36:37.407,Infrastructure,Unknown,26,-85,Taiy,c4:fb:aa:a8:61:b8,-72,2442,102.61960656070627,17.91732460836425
AKAT -WIFI,70:a7:41:85:aa:d3,Ubiquiti Inc,0,WPA2-Personal,CCMP,802.11ac,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:34:55.819,2024-11-07 03:36:52.689,Infrastructure,Unknown,18,-89,AKAT -WIFI,70:a7:41:85:aa:d3,-89,5180,102.61942085112402,17.918250671035167
AKAT -WIFI,44:d9:e7:d3:63:58,Ubiquiti Inc,0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:34:55.819,2024-11-07 03:36:47.797,Infrastructure,Unknown,33,-82,AKAT -WIFI,44:d9:e7:d3:63:58,-86,2412,102.619488515359,17.918355858558787
Souniphone,20:ab:48:4c:68:29,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:34:55.819,2024-11-07 03:36:47.797,Infrastructure,Unknown,13,-92,Souniphone,20:ab:48:4c:68:29,-89,5745,102.61968787778058,17.917341747314666
DIRECT-YFDESKTOP-2U40Q87msMJ,3c:95:09:25:3a:b9,Liteon Technology Corporation,0,WPA2-Personal,CCMP,802.11n,3,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:34:55.819,2024-11-07 03:36:47.797,Infrastructure,Unknown,35,-81,DIRECT-YFDESKTOP-2U40Q87msMJ,3c:95:09:25:3a:b9,-78,2422,102.619488515359,17.918355858558787
Pouy,14:46:58:e6:c1:80,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,5,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:34:55.819,2024-11-07 03:36:47.797,Infrastructure,Unknown,26,-85,Pouy,14:46:58:e6:c1:80,-91,2432,102.61942085112402,17.918250671035167
Pouy,14:46:58:e6:c1:84,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:35:02.733,2024-11-07 03:36:52.689,Infrastructure,Unknown,35,-81,Pouy,14:46:58:e6:c1:84,-80,5745,102.61932637518272,17.918665852041325
Mc_wifi,10:c1:72:5a:6f:ec,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,2,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:35:02.733,2024-11-07 03:36:52.689,Infrastructure,Unknown,67,-70,Mc_wifi,10:c1:72:5a:6f:ec,-83,2417,102.61942085112402,17.918250671035167
GW_AP_37829510,94:a4:08:37:d0:99,"Shenzhen Trolink Technology CO, LTD",0,Open,,802.11g,11,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:35:08.859,2024-11-07 03:36:59.624,Infrastructure,Unknown,22,-87,GW_AP_37829510,94:a4:08:37:d0:99,-90,2462,102.61932637518272,17.918665852041325
PAKANE_2,3c:cd:57:16:e8:83,"Beijing Xiaomi Mobile Software Co., Ltd",0,WPA2-Personal,CCMP,802.11n,8,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:35:08.859,2024-11-07 03:36:59.624,Infrastructure,Unknown,33,-82,PAKANE_2,3c:cd:57:16:e8:83,-86,2447,102.61890550556215,17.920078018358286
Pam chom Tong,14:eb:b6:bd:22:6b,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:35:08.859,2024-11-07 03:36:59.624,Infrastructure,Unknown,65,-71,Pam chom Tong,14:eb:b6:bd:22:6b,-79,2412,102.61918055172332,17.91937690651689
PAKANE,94:98:69:3b:3c:b6,zte corporation,0,WPA2-Personal,CCMP,802.11n,8,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:35:08.859,2024-11-07 03:36:59.624,Infrastructure,Unknown,40,-79,PAKANE,94:98:69:3b:3c:b6,-87,2447,102.61922851561944,17.919016097571006
SM,dc:21:e2:97:9a:21,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:35:19.942,2024-11-07 03:37:14.357,Infrastructure,Unknown,29,-84,SM,dc:21:e2:97:9a:21,-82,5180,102.61860583568247,17.920562424111026
SM,dc:21:e2:97:9a:1c,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,7,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:35:19.942,2024-11-07 03:37:11.245,Infrastructure,Unknown,33,-82,SM,dc:21:e2:97:9a:1c,-87,2442,102.61860583568247,17.920562424111026
Tui,6c:14:6e:f8:4c:74,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,5,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:35:19.942,2024-11-07 03:37:11.245,Infrastructure,Unknown,26,-85,Tui,6c:14:6e:f8:4c:74,-93,2432,102.61876933951974,17.920186641932933
BigC,ec:ad:e0:77:5a:b0,D-Link International,0,WPA2-Personal,CCMP,802.11ac,11,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:35:19.942,2024-11-07 03:37:11.245,Infrastructure,Unknown,22,-87,BigC,ec:ad:e0:77:5a:b0,-93,2462,102.61893142243288,17.91980986784222
HUAWEI Y7a,0e:43:75:5d:0e:91,Unknown,0,WPA2-Personal,CCMP,802.11ac,3,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:35:19.942,2024-11-07 03:37:14.357,Infrastructure,Unknown,40,-79,HUAWEI Y7a,0e:43:75:5d:0e:91,-77,2422,102.61860583568247,17.920562424111026
KeoMa142,f0:9b:b8:da:b7:bc,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,3,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:35:19.942,2024-11-07 03:37:14.357,Infrastructure,Unknown,70,-69,KeoMa142,f0:9b:b8:da:b7:bc,-69,2422,102.6186145471152,17.92080553512615
LAM,b0:8b:92:75:7d:7e,zte corporation,0,WPA2-Personal,CCMP,802.11n,7,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:35:29.855,2024-11-07 03:37:14.357,Infrastructure,Unknown,40,-79,LAM,b0:8b:92:75:7d:7e,-83,2442,102.61860583568247,17.920562424111026
C_5G,32:5f:77:8b:68:19,Unknown,0,WPA2-Personal,CCMP,802.11ac,153,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:35:29.855,2024-11-07 03:37:14.357,Infrastructure,Unknown,22,-87,C_5G,32:5f:77:8b:68:19,-86,5765,102.6182699505422,17.921635974317706
MSTONE,32:5f:77:8b:68:1a,Unknown,0,WPA2-Personal,CCMP,802.11ac,153,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:35:35.279,2024-11-07 03:37:31.877,Infrastructure,Unknown,46,-77,MSTONE,32:5f:77:8b:68:1a,-94,5765,102.61909526602368,17.919395390923537
Saysamone,64:2c:ac:d3:9c:b8,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,3,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:35:35.279,2024-11-07 03:37:27.525,Infrastructure,Unknown,70,-69,Saysamone,64:2c:ac:d3:9c:b8,-85,2422,102.6181132858077,17.9217602444768
IPNETWORK,5c:92:5e:ca:73:c0,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:35:35.279,2024-11-07 03:37:31.877,Infrastructure,Unknown,82,-61,IPNETWORK,5c:92:5e:ca:73:c0,-68,2412,102.61793979765272,17.922194276489105
Pikmala,b8:d6:f6:44:bc:d0,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:35:42.074,2024-11-07 03:37:31.877,Infrastructure,Unknown,78,-66,Pikmala,b8:d6:f6:44:bc:d0,-75,5745,102.61775454755112,17.922659978509934
Pikmala,b8:d6:f6:44:bc:cc,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,8,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:35:42.074,2024-11-07 03:37:31.877,Infrastructure,Unknown,80,-65,Pikmala,b8:d6:f6:44:bc:cc,-86,2447,102.61797635798796,17.922357244621093
VIXAY HOM1,14:4d:67:67:d6:28,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,11,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:35:42.074,2024-11-07 03:37:31.877,Infrastructure,Unknown,29,-84,VIXAY HOM1,14:4d:67:67:d6:28,-91,2462,102.61775454755112,17.922659978509934
SV,5c:64:7a:c0:d9:b8,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ax,8,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:35:42.074,2024-11-07 03:37:31.877,Infrastructure,Unknown,33,-82,SV,5c:64:7a:c0:d9:b8,-76,2447,102.61775454755112,17.922659978509934
Anny Chanthaly wifi,b0:08:75:f9:dc:04,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:35:42.074,2024-11-07 03:37:36.671,Infrastructure,Unknown,46,-77,Anny Chanthaly wifi,b0:08:75:f9:dc:04,-75,5180,102.61775454755112,17.922659978509934
Anny Chanthaly wifi,b0:08:75:f9:dc:00,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,5,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:35:42.074,2024-11-07 03:37:36.671,Infrastructure,Unknown,67,-70,Anny Chanthaly wifi,b0:08:75:f9:dc:00,-82,2432,102.61775454755112,17.922659978509934
Lina,dc:21:e2:98:57:e8,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:35:42.074,2024-11-07 03:37:31.877,Infrastructure,Unknown,46,-77,Lina,dc:21:e2:98:57:e8,-80,5180,102.61775454755112,17.922659978509934
Lina,dc:21:e2:98:57:e4,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,3,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:35:42.074,2024-11-07 03:37:31.877,Infrastructure,Unknown,75,-67,Lina,dc:21:e2:98:57:e4,-84,2422,102.61797635798796,17.922357244621093
Family1,04:e7:95:3c:a9:e0,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,3,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:35:42.074,2024-11-07 03:37:31.877,Infrastructure,Unknown,57,-74,Family1,04:e7:95:3c:a9:e0,-78,2422,102.61797635798796,17.922357244621093
c6734ba6,50:2c:c6:73:4b:a6,"GREE ELECTRIC APPLIANCES, INC. OF ZHUHAI",0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:35:42.074,2024-11-07 03:37:31.877,Infrastructure,Unknown,72,-68,c6734ba6,50:2c:c6:73:4b:a6,-83,2412,102.61797635798796,17.922357244621093
4G-WIFI-FFFC,e8:4e:06:9a:ff:fc,"EDUP INTERNATIONAL (HK) CO., LTD",0,WPA2-Personal,CCMP,802.11n,6,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:35:56.219,2024-11-07 03:37:36.671,Infrastructure,Unknown,75,-67,4G-WIFI-FFFC,e8:4e:06:9a:ff:fc,-75,2437,102.61776331287176,17.922853259558917
Viengxay,5c:e8:83:de:a6:a4,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:36:03.832,2024-11-07 03:37:52.625,Infrastructure,Unknown,29,-84,Viengxay,5c:e8:83:de:a6:a4,-89,5745,102.61690076845709,17.924751683128395
Keohavong,04:e7:95:3c:54:14,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,10,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:36:03.832,2024-11-07 03:37:52.625,Infrastructure,Unknown,50,-76,Keohavong,04:e7:95:3c:54:14,-74,2457,102.6169784230294,17.924760897045054
